Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to9,Feature log2 fold change topic 4to9
ENSG00000188976,NOC2L,35,-0.9207,67,0.09173,54,-0.2651,69,0.40795
ENSG00000188290,HES4,27,-0.8717,73,0.74485,84,0.97955,40,-0.6220
ENSG00000187608,ISG15,166,2.23989,51,0.04283,21,-1.2952,34,-1.1952
ENSG00000078808,SDF4,121,0.69400,63,-0.3686,72,-0.1535,77,-0.1542
ENSG00000176022,B3GALT6,33,-0.1766,13,-1.5903,49,0.50391,39,0.29171
ENSG00000160087,UBE2J2,26,-0.9005,48,0.07240,20,-1.3177,54,0.77045
ENSG00000131584,ACAP3,38,-1.2215,78,-0.1358,92,0.13922,92,0.40556
ENSG00000127054,INTS11,76,0.31285,45,-0.5179,66,0.08624,63,0.00967
ENSG00000224051,CPTP,11,-1.5881,19,-0.8428,35,0.11504,38,0.79008
ENSG00000107404,DVL1,53,-0.3216,41,-0.6938,85,0.46100,67,0.15796
ENSG00000175756,AURKAIP1,109,-0.4476,109,-0.4429,149,0.04729,156,0.34433
ENSG00000221978,CCNL2,114,0.86874,30,-1.2728,61,-0.1646,67,-0.0131
ENSG00000242485,MRPL20,216,0.21748,133,-0.5559,177,-0.1056,196,0.15877
ENSG00000179403,VWA1,106,2.21815,20,-0.7143,39,0.35055,20,-1.4420
ENSG00000205090,TMEM240,17,-1.0976,35,-0.0300,42,0.26008,38,0.26067
ENSG00000160075,SSU72,137,-0.2874,133,-0.3407,237,0.61153,162,-0.0629
ENSG00000228594,FNDC10,1,-4.5336,30,-0.1713,16,-1.0646,42,1.37448
ENSG00000272106,ENSG00000272106,40,0.25555,25,-0.4911,76,1.38890,27,-0.7578
ENSG00000197530,MIB2,52,0.77179,33,-0.0136,21,-0.7294,32,-0.1459
ENSG00000189339,SLC35E2B,76,-0.4172,60,-0.7971,133,0.48831,104,0.20942
ENSG00000078369,GNB1,323,-0.4201,357,-0.2582,349,-0.2957,458,0.41682
ENSG00000187730,GABRD,7,-4.5649,106,-0.6370,371,1.49273,157,-0.0423
ENSG00000067606,PRKCZ,48,-2.1432,161,-0.3012,268,0.53434,212,0.41375
ENSG00000162585,FAAP20,88,0.87421,31,-0.8274,40,-0.4298,52,-0.0245
ENSG00000157933,SKI,97,1.21700,38,-0.3768,56,0.24931,40,-0.6656
ENSG00000157916,RER1,82,0.03669,43,-0.9566,113,0.57297,80,0.01550
ENSG00000197921,HES5,10,-2.1731,38,-0.1475,79,1.08731,41,-0.0316
ENSG00000157870,PRXL2B,73,0.30281,53,-0.2349,58,-0.0794,61,-0.0133
ENSG00000158109,TPRG1L,112,-1.1059,137,-0.7888,183,-0.3468,268,0.89545
ENSG00000130764,LRRC47,93,-0.0471,62,-0.6784,103,0.11461,100,0.22531
ENSG00000196581,AJAP1,2,-4.2785,50,0.06654,87,1.00508,49,0.06951
ENSG00000069424,KCNAB2,26,-3.0796,117,-0.8556,102,-1.0727,263,1.67627
ENSG00000116254,CHD5,25,-2.6859,49,-1.6689,8,-4.2605,205,2.88591
ENSG00000116251,RPL22,584,0.79361,340,-0.1118,189,-1.0260,361,-0.0405
ENSG00000116237,ICMT,69,0.73018,49,0.15989,81,1.01606,33,-0.9773
ENSG00000097021,ACOT7,47,-3.0397,246,-0.5701,390,0.16776,414,0.86191
ENSG00000162408,NOL9,51,0.39115,34,-0.2342,25,-0.7153,41,0.17022
ENSG00000162413,KLHL21,95,1.45782,33,-0.3252,33,-0.3553,35,-0.6247
ENSG00000007923,DNAJC11,37,-0.1655,34,-0.2965,50,0.32363,41,0.03529
ENSG00000171735,CAMTA1,153,-0.0628,187,0.26927,127,-0.3584,160,0.04360
ENSG00000049246,PER3,54,0.68169,31,-0.2205,100,1.84582,23,-1.4297
ENSG00000116288,PARK7,422,0.31210,288,-0.3049,313,-0.1718,352,0.04714
ENSG00000162426,SLC45A1,9,-2.2436,27,-0.5572,33,-0.2850,47,1.02665
ENSG00000142599,RERE,129,0.25546,68,-0.7630,112,0.01887,114,0.14858
ENSG00000074800,ENO1,785,-0.2434,618,-0.6198,1282,0.56318,923,0.04372
ENSG00000171603,CLSTN1,645,-0.2560,344,-1.2282,598,-0.3749,870,0.71630
ENSG00000178585,CTNNBIP1,58,0.40946,21,-1.1970,11,-2.1205,52,0.80897
ENSG00000162441,LZIC,125,2.35692,29,-0.3082,25,-0.5634,23,-1.3482
ENSG00000130939,UBE4B,46,-0.0544,40,-0.2912,23,-1.1085,54,0.54744
ENSG00000054523,KIF1B,366,-0.0626,350,-0.1338,355,-0.1112,392,0.13491
ENSG00000142657,PGD,22,-1.5441,53,-0.2115,41,-0.6349,72,0.88523
ENSG00000241563,CORT,50,-1.7965,25,-2.8068,134,-0.2979,207,1.56482
ENSG00000160049,DFFA,48,0.54928,36,0.08128,23,-0.5842,33,-0.0967
ENSG00000120948,TARDBP,131,0.66392,76,-0.2250,97,0.15452,81,-0.3185
ENSG00000116649,SRM,54,-1.4131,65,-1.1137,208,0.74269,146,0.41726
ENSG00000171824,EXOSC10,50,0.71126,13,-1.3868,40,0.33068,32,-0.1154
ENSG00000198793,MTOR,43,-0.2562,40,-0.3641,35,-0.5537,56,0.49601
ENSG00000116661,FBXO2,247,0.47883,139,-0.4574,130,-0.5560,191,0.15330
ENSG00000132879,FBXO44,33,-2.0734,121,-0.0875,161,0.37473,139,0.40889
ENSG00000011021,CLCN6,69,-0.0528,59,-0.2876,37,-1.0154,79,0.51903
ENSG00000116685,KIAA2013,55,0.74117,23,-0.6350,38,0.15217,33,-0.2277
ENSG00000083444,PLOD1,101,2.02115,36,0.12489,16,-1.0767,24,-1.0721
ENSG00000116688,MFN2,39,-1.7709,103,-0.3004,122,-0.0286,142,0.68965
ENSG00000048707,VPS13D,79,0.27213,62,-0.1188,39,-0.8586,70,0.23012
ENSG00000162496,DHRS3,113,2.32389,18,-0.9186,41,0.38044,20,-1.5066
ENSG00000116731,PRDM2,38,-0.7731,61,-0.0255,119,1.09247,57,-0.3424
ENSG00000189337,KAZN,67,0.31677,42,-0.4398,31,-0.9036,60,0.35022
ENSG00000142634,EFHD2,54,-1.0413,29,-1.9961,6,-4.2061,144,2.26261
ENSG00000116138,DNAJC16,16,-1.0107,36,0.18128,19,-0.8126,36,0.59272
ENSG00000116786,PLEKHM2,86,0.19495,75,-0.0287,36,-1.1451,81,0.30702
ENSG00000065526,SPEN,68,0.79171,41,-0.0324,29,-0.5796,40,-0.1948
ENSG00000291072,CROCCP2,41,0.34961,9,-1.9276,52,0.78470,32,-0.0839
ENSG00000159363,ATP13A2,34,-2.5574,132,-0.5284,124,-0.6270,228,1.23280
ENSG00000117118,SDHB,68,-0.3856,53,-0.7608,140,0.81080,86,-0.0164
ENSG00000117115,PADI2,174,3.51241,19,-0.8560,3,-3.4055,16,-1.9835
ENSG00000117154,IGSF21,24,-2.3268,41,-1.5495,9,-3.7644,157,2.63749
ENSG00000127463,EMC1,57,0.52211,20,-1.1031,54,0.42757,41,-0.1138
ENSG00000053372,MRTO4,30,-0.2060,31,-0.1465,20,-0.8648,38,0.48315
ENSG00000053371,AKR7A2,149,1.56628,27,-1.2531,67,0.16000,51,-0.6669
ENSG00000077549,CAPZB,224,0.09985,143,-0.6125,175,-0.2946,226,0.31853
ENSG00000173436,MICOS10,201,-0.4515,168,-0.7313,142,-0.9972,316,0.88804
ENSG00000158747,NBL1,122,-0.6413,140,-0.4222,86,-1.1770,216,0.89497
ENSG00000162545,CAMK2N1,170,-2.5054,363,-1.3777,463,-1.0068,1152,1.79426
ENSG00000090432,MUL1,31,0.07187,28,-0.0845,16,-0.9982,32,0.35920
ENSG00000158828,PINK1,149,-1.6038,346,-0.3076,225,-0.9793,509,1.08394
ENSG00000244038,DDOST,89,1.18256,26,-0.8503,54,0.30171,39,-0.5305
ENSG00000189410,SH2D5,5,-3.0452,46,0.19035,131,2.11983,31,-0.9525
ENSG00000127483,HP1BP3,269,0.76887,168,-0.0176,159,-0.1108,156,-0.3500
ENSG00000075151,EIF4G3,127,0.01085,69,-0.9501,83,-0.6660,143,0.61863
ENSG00000076864,RAP1GAP,8,-5.2503,303,0.05626,908,2.07083,236,-0.7839
ENSG00000090686,USP48,49,-0.3378,61,0.01272,92,0.70121,57,-0.2377
ENSG00000070831,CDC42,264,0.11399,195,-0.3727,97,-1.4467,277,0.57697
ENSG00000173369,C1QB,235,4.25600,40,0.14528,28,-0.4018,4,-4.3871
ENSG00000004487,KDM1A,54,-0.0966,49,-0.2399,31,-0.9282,63,0.49391
ENSG00000169641,LUZP1,16,-1.4417,30,-0.4974,30,-0.5297,49,0.95518
ENSG00000125944,HNRNPR,154,0.49225,100,-0.2130,157,0.52355,103,-0.4101
ENSG00000142676,RPL11,932,1.20502,548,0.27670,334,-0.5160,391,-0.6263
ENSG00000057757,PITHD1,133,-0.8020,172,-0.4049,155,-0.5643,255,0.73424
ENSG00000011009,LYPLA2,94,0.47913,37,-0.9907,80,0.21922,70,-0.0081
ENSG00000189266,PNRC2,94,0.64010,54,-0.2669,29,-1.2098,66,0.16497
ENSG00000188529,SRSF10,118,1.03884,47,-0.4968,94,0.65012,53,-0.7088
ENSG00000001461,NIPAL3,103,0.68281,79,0.22918,30,-1.2750,67,-0.0689
ENSG00000133226,SRRM1,109,1.37518,74,0.67114,26,-0.9719,39,-0.8311
ENSG00000169504,CLIC4,219,3.46531,53,0.38258,17,-1.3615,14,-2.7145
ENSG00000117614,SYF2,140,1.17235,52,-0.4678,105,0.66580,56,-0.8161
ENSG00000117616,RSRP1,132,0.74974,43,-1.0313,178,1.28898,67,-0.7993
ENSG00000183726,TMEM50A,108,0.61891,80,0.11440,132,0.96028,58,-0.8606
ENSG00000204178,MACO1,30,0.11739,33,0.26347,41,0.62205,25,-0.4821
ENSG00000117643,MAN1C1,66,0.79490,12,-1.7851,40,-0.0185,41,0.06717
ENSG00000162430,SELENON,117,1.82151,34,-0.3630,47,0.18653,30,-1.1128
ENSG00000117640,MTFR1L,73,-0.1613,73,-0.1712,94,0.25244,81,0.02132
ENSG00000117632,STMN1,511,-1.2508,385,-1.6787,177,-2.8307,1530,2.09536
ENSG00000158008,EXTL1,4,-3.2462,15,-1.3493,0,-6.5934,52,2.94275
ENSG00000142684,ZNF593,56,0.60900,31,-0.3360,22,-0.8678,40,0.12522
ENSG00000142669,SH3BGRL3,325,0.00732,165,-1.0590,111,-1.6584,386,0.94385
ENSG00000158062,UBXN11,99,1.95846,16,-1.1413,38,0.21164,25,-1.0406
ENSG00000198830,HMGN2,543,1.94405,136,-0.4886,179,-0.0546,135,-1.0807
ENSG00000117713,ARID1A,90,0.47779,73,0.11937,131,1.12360,52,-0.8953
ENSG00000204160,ZDHHC18,10,-1.6412,40,0.55460,29,0.03869,30,0.17168
ENSG00000090273,NUDC,386,1.38588,104,-0.8111,163,-0.1025,152,-0.5166
ENSG00000253368,TRNP1,3,-4.0265,44,-0.2943,33,-0.7619,66,1.30022
ENSG00000090020,SLC9A1,19,-0.7250,24,-0.3561,25,-0.2577,33,0.55489
ENSG00000142784,WDTC1,68,0.71788,24,-0.9226,53,0.31725,42,-0.2145
ENSG00000186501,TMEM222,102,0.51705,48,-0.7067,102,0.51069,70,-0.2571
ENSG00000126705,AHDC1,40,-0.3527,44,-0.1979,55,0.17328,51,0.14785
ENSG00000117758,STX12,79,-0.6910,92,-0.4574,65,-0.9933,145,0.87369
ENSG00000117751,PPP1R8,33,0.25170,36,0.40627,43,0.73104,23,-0.6725
ENSG00000117748,RPA2,49,-0.3911,48,-0.4186,112,0.98406,59,-0.2369
ENSG00000126698,DNAJC8,165,0.67595,74,-0.6277,74,-0.6287,113,0.11339
ENSG00000130770,ATP5IF1,184,-1.5363,295,-0.8187,336,-0.6151,607,1.15903
ENSG00000198492,YTHDF2,56,-0.2230,71,0.16685,64,-0.0194,65,0.02445
ENSG00000116350,SRSF4,84,0.90394,33,-0.6163,21,-1.2785,51,0.12777
ENSG00000116353,MECR,6,-2.3429,37,0.27425,19,-0.7378,36,0.78350
ENSG00000162512,SDC3,137,-0.4411,209,0.23442,487,1.77036,132,-1.0661
ENSG00000134644,PUM1,159,-0.0535,138,-0.2843,171,0.06129,169,0.11437
ENSG00000121766,ZCCHC17,35,-1.7574,79,-0.5287,98,-0.1901,131,0.87576
ENSG00000121769,FABP3,5,-4.3030,44,-1.3080,23,-2.2394,141,2.52085
ENSG00000162517,PEF1,54,-0.6170,75,-0.0916,54,-0.6246,89,0.54415
ENSG00000084636,COL16A1,218,2.53213,23,-1.4088,35,-0.7502,40,-1.1951
ENSG00000121753,ADGRB2,58,-2.4705,208,-0.5613,400,0.50119,333,0.58131
ENSG00000184007,PTP4A2,276,1.07479,188,0.40549,42,-1.9157,136,-0.3092
ENSG00000121774,KHDRBS1,183,0.41453,110,-0.4064,276,1.13269,118,-0.6761
ENSG00000025800,KPNA6,58,0.32061,42,-0.1790,59,0.36024,45,-0.2490
ENSG00000084652,TXLNA,79,1.40887,41,0.25146,40,0.22908,26,-1.0376
ENSG00000084623,EIF3I,116,-0.0002,78,-0.6116,105,-0.1585,124,0.30987
ENSG00000175130,MARCKSL1,351,1.56654,135,-0.0989,87,-0.7860,120,-0.6655
ENSG00000160058,BSDC1,72,0.18819,32,-1.0796,67,0.06453,68,0.24922
ENSG00000176261,ZBTB8OS,18,-0.8577,21,-0.6171,39,0.32989,34,0.39374
ENSG00000162521,RBBP4,171,1.14664,66,-0.4418,94,0.12257,76,-0.5391
ENSG00000134684,YARS1,40,-1.7019,105,-0.2184,82,-0.6014,143,0.91034
