Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to9,Feature log2 fold change topic 5to9
ENSG00000188976,NOC2L,35,-0.9207,67,0.09173,54,-0.2651,74,0.24541,68,0.24647
ENSG00000188290,HES4,27,-0.8717,73,0.74485,84,0.97955,42,-0.1792,39,-0.5201
ENSG00000187608,ISG15,166,2.23989,51,0.04283,21,-1.2952,39,-0.3788,34,-1.0373
ENSG00000078808,SDF4,121,0.69400,63,-0.3686,72,-0.1535,129,0.81342,66,-0.5393
ENSG00000176022,B3GALT6,33,-0.1766,13,-1.5903,49,0.50391,62,0.89784,34,-0.2001
ENSG00000160087,UBE2J2,26,-0.9005,48,0.07240,20,-1.3177,59,0.39890,53,0.45724
ENSG00000131584,ACAP3,38,-1.2215,78,-0.1358,92,0.13922,136,0.80142,83,-0.0493
ENSG00000127054,INTS11,76,0.31285,45,-0.5179,66,0.08624,98,0.74506,56,-0.3511
ENSG00000224051,CPTP,11,-1.5881,19,-0.8428,35,0.11504,16,-1.0993,42,1.04476
ENSG00000107404,DVL1,53,-0.3216,41,-0.6938,85,0.46100,57,-0.1977,69,0.21666
ENSG00000175756,AURKAIP1,109,-0.4476,109,-0.4429,149,0.04729,170,0.26527,153,0.18429
ENSG00000221978,CCNL2,114,0.86874,30,-1.2728,61,-0.1646,144,1.29611,52,-0.7298
ENSG00000242485,MRPL20,216,0.21748,133,-0.5559,177,-0.1056,253,0.48637,184,-0.0810
ENSG00000179403,VWA1,106,2.21815,20,-0.7143,39,0.35055,37,0.22110,17,-1.5662
ENSG00000205090,TMEM240,17,-1.0976,35,-0.0300,42,0.26008,47,0.47398,36,0.01200
ENSG00000160075,SSU72,137,-0.2874,133,-0.3407,237,0.61153,270,0.83534,140,-0.4689
ENSG00000228594,FNDC10,1,-4.5336,30,-0.1713,16,-1.0646,55,0.86184,39,0.59158
ENSG00000272106,ENSG00000272106,40,0.25555,25,-0.4911,76,1.38890,18,-0.9542,29,-0.4301
ENSG00000197530,MIB2,52,0.77179,33,-0.0136,21,-0.7294,49,0.66315,28,-0.4455
ENSG00000189339,SLC35E2B,76,-0.4172,60,-0.7971,133,0.48831,130,0.44480,99,-0.0166
ENSG00000078369,GNB1,323,-0.4201,357,-0.2582,349,-0.2957,543,0.42344,441,0.16713
ENSG00000187730,GABRD,7,-4.5649,106,-0.6370,371,1.49273,123,-0.4051,164,0.10747
ENSG00000067606,PRKCZ,48,-2.1432,161,-0.3012,268,0.53434,211,0.13512,212,0.30156
ENSG00000162585,FAAP20,88,0.87421,31,-0.8274,40,-0.4298,88,0.86351,45,-0.4514
ENSG00000157933,SKI,97,1.21700,38,-0.3768,56,0.24931,50,0.07497,38,-0.6621
ENSG00000157916,RER1,82,0.03669,43,-0.9566,113,0.57297,117,0.62959,73,-0.2815
ENSG00000197921,HES5,10,-2.1731,38,-0.1475,79,1.08731,15,-1.5852,47,0.39521
ENSG00000157870,PRXL2B,73,0.30281,53,-0.2349,58,-0.0794,112,1.02674,51,-0.5438
ENSG00000158109,TPRG1L,112,-1.1059,137,-0.7888,183,-0.3468,415,1.02928,239,0.17271
ENSG00000130764,LRRC47,93,-0.0471,62,-0.6784,103,0.11461,138,0.60934,93,-0.0890
ENSG00000196581,AJAP1,2,-4.2785,50,0.06654,87,1.00508,32,-0.6256,52,0.27712
ENSG00000069424,KCNAB2,26,-3.0796,117,-0.8556,102,-1.0727,263,0.43177,262,1.04376
ENSG00000116254,CHD5,25,-2.6859,49,-1.6689,8,-4.2605,175,0.29894,211,1.70854
ENSG00000116251,RPL22,584,0.79361,340,-0.1118,189,-1.0260,275,-0.4466,378,0.12232
ENSG00000116237,ICMT,69,0.73018,49,0.15989,81,1.01606,59,0.46259,28,-1.1708
ENSG00000097021,ACOT7,47,-3.0397,246,-0.5701,390,0.16776,497,0.57071,398,0.43143
ENSG00000162408,NOL9,51,0.39115,34,-0.2342,25,-0.7153,37,-0.1044,42,0.19239
ENSG00000162413,KLHL21,95,1.45782,33,-0.3252,33,-0.3553,93,1.41929,23,-1.4486
ENSG00000007923,DNAJC11,37,-0.1655,34,-0.2965,50,0.32363,44,0.13288,40,-0.0234
ENSG00000171735,CAMTA1,153,-0.0628,187,0.26927,127,-0.3584,142,-0.1837,164,0.10950
ENSG00000049246,PER3,54,0.68169,31,-0.2205,100,1.84582,25,-0.5796,22,-1.2220
ENSG00000116288,PARK7,422,0.31210,288,-0.3049,313,-0.1718,358,0.04275,351,0.02492
ENSG00000162426,SLC45A1,9,-2.2436,27,-0.5572,33,-0.2850,69,0.96903,43,0.30132
ENSG00000142599,RERE,129,0.25546,68,-0.7630,112,0.01887,197,0.97901,98,-0.3711
ENSG00000074800,ENO1,785,-0.2434,618,-0.6198,1282,0.56318,1417,0.73565,824,-0.3156
ENSG00000171603,CLSTN1,645,-0.2560,344,-1.2282,598,-0.3749,1279,0.88786,788,0.13678
ENSG00000178585,CTNNBIP1,58,0.40946,21,-1.1970,11,-2.1205,79,0.94157,47,0.16966
ENSG00000162441,LZIC,125,2.35692,29,-0.3082,25,-0.5634,35,-0.0273,21,-1.3391
ENSG00000130939,UBE4B,46,-0.0544,40,-0.2912,23,-1.1085,97,1.20879,45,-0.2010
ENSG00000054523,KIF1B,366,-0.0626,350,-0.1338,355,-0.1112,481,0.38921,374,-0.0531
ENSG00000142657,PGD,22,-1.5441,53,-0.2115,41,-0.6349,78,0.40670,71,0.53839
ENSG00000241563,CORT,50,-1.7965,25,-2.8068,134,-0.2979,185,0.22134,212,1.10010
ENSG00000160049,DFFA,48,0.54928,36,0.08128,23,-0.5842,54,0.74725,29,-0.4479
ENSG00000120948,TARDBP,131,0.66392,76,-0.2250,97,0.15452,161,1.02746,65,-0.8298
ENSG00000116649,SRM,54,-1.4131,65,-1.1137,208,0.74269,150,0.18870,145,0.28035
ENSG00000171824,EXOSC10,50,0.71126,13,-1.3868,40,0.33068,50,0.72737,28,-0.4537
ENSG00000198793,MTOR,43,-0.2562,40,-0.3641,35,-0.5537,67,0.45983,54,0.21247
ENSG00000116661,FBXO2,247,0.47883,139,-0.4574,130,-0.5560,269,0.62501,176,-0.1588
ENSG00000132879,FBXO44,33,-2.0734,121,-0.0875,161,0.37473,276,1.33337,112,-0.3975
ENSG00000011021,CLCN6,69,-0.0528,59,-0.2876,37,-1.0154,129,1.01630,69,-0.0933
ENSG00000116685,KIAA2013,55,0.74117,23,-0.6350,38,0.15217,71,1.20445,25,-0.8645
ENSG00000083444,PLOD1,101,2.02115,36,0.12489,16,-1.0767,89,1.74893,11,-2.3983
ENSG00000116688,MFN2,39,-1.7709,103,-0.3004,122,-0.0286,174,0.56025,136,0.30964
ENSG00000048707,VPS13D,79,0.27213,62,-0.1188,39,-0.8586,59,-0.1891,73,0.27699
ENSG00000162496,DHRS3,113,2.32389,18,-0.9186,41,0.38044,39,0.29113,16,-1.6813
ENSG00000116731,PRDM2,38,-0.7731,61,-0.0255,119,1.09247,63,0.02742,56,-0.3276
ENSG00000189337,KAZN,67,0.31677,42,-0.4398,31,-0.9036,55,-0.0132,61,0.31169
ENSG00000142634,EFHD2,54,-1.0413,29,-1.9961,6,-4.2061,68,-0.6965,160,2.00723
ENSG00000116138,DNAJC16,16,-1.0107,36,0.18128,19,-0.8126,32,0.02617,37,0.49620
ENSG00000116786,PLEKHM2,86,0.19495,75,-0.0287,36,-1.1451,75,-0.0232,82,0.27894
ENSG00000065526,SPEN,68,0.79171,41,-0.0324,29,-0.5796,58,0.53311,36,-0.4210
ENSG00000291072,CROCCP2,41,0.34961,9,-1.9276,52,0.78470,44,0.47873,30,-0.2915
ENSG00000159363,ATP13A2,34,-2.5574,132,-0.5284,124,-0.6270,282,0.70624,218,0.60411
ENSG00000117118,SDHB,68,-0.3856,53,-0.7608,140,0.81080,77,-0.1738,88,0.05164
ENSG00000117115,PADI2,174,3.51241,19,-0.8560,3,-3.4055,3,-3.2144,19,-1.3923
ENSG00000117154,IGSF21,24,-2.3268,41,-1.5495,9,-3.7644,172,0.70420,153,1.31290
ENSG00000127463,EMC1,57,0.52211,20,-1.1031,54,0.42757,36,-0.2350,42,-0.0155
ENSG00000053372,MRTO4,30,-0.2060,31,-0.1465,20,-0.8648,66,1.10583,32,-0.1801
ENSG00000053371,AKR7A2,149,1.56628,27,-1.2531,67,0.16000,120,1.14899,37,-1.2761
ENSG00000077549,CAPZB,224,0.09985,143,-0.6125,175,-0.2946,329,0.74622,205,-0.0878
ENSG00000173436,MICOS10,201,-0.4515,168,-0.7313,142,-0.9972,323,0.30762,315,0.59221
