Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000188976,NOC2L,3,-4.2771,103,0.74237,22,-1.6526,39,-0.8070,93,0.97684,50,-0.4217,65,-0.0060
ENSG00000187608,ISG15,3,-4.0086,103,1.06512,68,0.35499,14,-2.0223,65,0.45889,77,0.56912,18,-1.6682
ENSG00000078808,SDF4,101,0.28399,103,0.31978,72,-0.2603,1,-5.6050,89,0.12912,40,-1.1486,171,1.19226
ENSG00000131584,ACAP3,77,0.05094,103,0.51534,52,-0.5618,11,-2.8666,77,0.05132,54,-0.5252,146,1.11962
ENSG00000127054,INTS11,138,0.88933,103,0.39739,52,-0.6768,7,-3.5994,100,0.56561,48,-0.7874,57,-0.5518
ENSG00000107404,DVL1,3,-3.9953,103,1.08197,50,-0.1122,7,-2.9460,57,0.12179,72,0.46218,77,0.57554
ENSG00000175756,AURKAIP1,3,-6.0157,1052,3.05305,132,-0.7881,154,-0.5474,150,-0.8154,144,-0.6512,102,-1.1844
ENSG00000221978,CCNL2,3,-4.2804,103,0.73782,50,-0.4201,62,-0.1033,73,0.28005,69,0.07838,76,0.22905
ENSG00000242485,MRPL20,3,-5.6485,103,-0.7788,258,0.69207,111,-0.6626,219,0.67771,134,-0.3735,211,0.35114
ENSG00000160075,SSU72,49,-1.6103,103,-0.4880,165,0.25828,134,-0.0726,176,0.58790,86,-0.7672,164,0.25156
ENSG00000189339,SLC35E2B,3,-4.6280,103,0.33731,57,-0.5878,22,-2.0150,120,1.00688,97,0.23300,74,-0.1903
ENSG00000078369,GNB1,263,-0.5911,110,-1.8977,276,-0.5125,372,-0.0465,499,0.71094,319,-0.2903,489,0.39985
ENSG00000187730,GABRD,3,-5.0096,103,-0.0892,33,-1.8220,20,-2.5354,162,1.13203,48,-1.2736,235,1.30245
ENSG00000067606,PRKCZ,428,1.36488,103,-0.9677,48,-2.1164,82,-1.3033,240,0.59023,112,-0.8419,185,-0.0587
ENSG00000162585,FAAP20,173,1.42002,103,0.51352,67,-0.1695,61,-0.3186,51,-0.8375,41,-0.9307,102,0.49554
ENSG00000157916,RER1,253,1.55761,103,0.00871,129,0.37148,43,-1.3293,97,-0.1296,43,-1.3307,65,-0.6997
ENSG00000157870,PRXL2B,3,-4.0969,103,0.95826,46,-0.3668,9,-2.7051,92,1.38408,30,-1.0130,19,-1.7170
ENSG00000158109,TPRG1L,3,-5.8177,103,-0.9579,111,-0.8426,157,-0.3054,316,1.56079,85,-1.2413,182,-0.0773
ENSG00000130764,LRRC47,3,-4.5726,103,0.40019,38,-1.1411,34,-1.3224,114,0.96810,69,-0.2517,101,0.37059
ENSG00000069424,KCNAB2,70,-1.1489,103,-0.5645,20,-2.9598,14,-3.4492,243,1.52108,106,-0.5206,191,0.42256
