Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000188976,NOC2L,35,-0.9207,67,0.09173,54,-0.2651,74,0.24541,99,0.74338,42,-0.6444,67,0.10785
ENSG00000188290,HES4,27,-0.8717,73,0.74485,84,0.97955,42,-0.1792,31,-0.6455,87,1.05195,26,-1.1308
ENSG00000187608,ISG15,166,2.23989,51,0.04283,21,-1.2952,39,-0.3788,29,-0.8275,59,0.28249,27,-1.1804
ENSG00000078808,SDF4,121,0.69400,63,-0.3686,72,-0.1535,129,0.81342,86,0.12246,51,-0.6939,65,-0.4284
ENSG00000176022,B3GALT6,33,-0.1766,13,-1.5903,49,0.50391,62,0.89784,39,0.10437,59,0.81149,24,-0.8032
ENSG00000160087,UBE2J2,26,-0.9005,48,0.07240,20,-1.3177,59,0.39890,74,0.77702,55,0.27534,45,-0.0609
ENSG00000131584,ACAP3,38,-1.2215,78,-0.1358,92,0.13922,136,0.80142,157,1.04574,72,-0.2559,63,-0.6065
ENSG00000127054,INTS11,76,0.31285,45,-0.5179,66,0.08624,98,0.74506,87,0.54016,23,-1.5492,56,-0.2212
ENSG00000224051,CPTP,11,-1.5881,19,-0.8428,35,0.11504,16,-1.0993,29,-0.1607,97,1.98179,28,-0.2955
ENSG00000107404,DVL1,53,-0.3216,41,-0.6938,85,0.46100,57,-0.1977,71,0.15332,75,0.24851,66,0.04894
ENSG00000175756,AURKAIP1,109,-0.4476,109,-0.4429,149,0.04729,170,0.26527,96,-0.6449,188,0.43430,160,0.22172
ENSG00000221978,CCNL2,114,0.86874,30,-1.2728,61,-0.1646,144,1.29611,40,-0.8324,73,0.12731,49,-0.6310
ENSG00000242485,MRPL20,216,0.21748,133,-0.5559,177,-0.1056,253,0.48637,155,-0.3183,219,0.24097,182,-0.0754
ENSG00000179403,VWA1,106,2.21815,20,-0.7143,39,0.35055,37,0.22110,9,-1.9267,27,-0.2820,16,-1.2695
ENSG00000205090,TMEM240,17,-1.0976,35,-0.0300,42,0.26008,47,0.47398,59,0.84598,32,-0.1606,29,-0.4089
ENSG00000160075,SSU72,137,-0.2874,133,-0.3407,237,0.61153,270,0.83534,104,-0.7197,115,-0.5632,161,-0.0478
ENSG00000228594,FNDC10,1,-4.5336,30,-0.1713,16,-1.0646,55,0.86184,42,0.39082,26,-0.3748,42,0.56081
ENSG00000272106,ENSG00000272106,40,0.25555,25,-0.4911,76,1.38890,18,-0.9542,36,0.10231,28,-0.2878,27,-0.4344
ENSG00000197530,MIB2,52,0.77179,33,-0.0136,21,-0.7294,49,0.66315,44,0.49010,27,-0.2919,23,-0.6899
ENSG00000189339,SLC35E2B,76,-0.4172,60,-0.7971,133,0.48831,130,0.44480,104,0.07053,111,0.17576,93,-0.1344
ENSG00000078369,GNB1,323,-0.4201,357,-0.2582,349,-0.2957,543,0.42344,456,0.13335,469,0.17980,427,0.03883
ENSG00000187730,GABRD,7,-4.5649,106,-0.6370,371,1.49273,123,-0.4051,239,0.69120,111,-0.5622,156,-0.0355
ENSG00000067606,PRKCZ,48,-2.1432,161,-0.3012,268,0.53434,211,0.13512,214,0.15722,217,0.17749,210,0.17116
ENSG00000162585,FAAP20,88,0.87421,31,-0.8274,40,-0.4298,88,0.86351,40,-0.4325,60,0.22531,42,-0.4694
ENSG00000157933,SKI,97,1.21700,38,-0.3768,56,0.24931,50,0.07497,40,-0.2821,52,0.12963,32,-0.7611
ENSG00000157916,RER1,82,0.03669,43,-0.9566,113,0.57297,117,0.62959,70,-0.2069,135,0.87807,53,-0.8053
ENSG00000197921,HES5,10,-2.1731,38,-0.1475,79,1.08731,15,-1.5852,17,-1.3544,89,1.30694,42,0.03631
ENSG00000157870,PRXL2B,73,0.30281,53,-0.2349,58,-0.0794,112,1.02674,78,0.39882,53,-0.2364,41,-0.7907
ENSG00000158109,TPRG1L,112,-1.1059,137,-0.7888,183,-0.3468,415,1.02928,239,0.08748,249,0.15121,235,0.07988
ENSG00000130764,LRRC47,93,-0.0471,62,-0.6784,103,0.11461,138,0.60934,79,-0.2946,132,0.53981,84,-0.2637
ENSG00000196581,AJAP1,2,-4.2785,50,0.06654,87,1.00508,32,-0.6256,85,0.95916,33,-0.5981,48,-0.0180
ENSG00000069424,KCNAB2,26,-3.0796,117,-0.8556,102,-1.0727,263,0.43177,354,0.94549,182,-0.1665,259,0.57098
ENSG00000116254,CHD5,25,-2.6859,49,-1.6689,8,-4.2605,175,0.29894,224,0.71867,178,0.33112,217,0.98190
ENSG00000116251,RPL22,584,0.79361,340,-0.1118,189,-1.0260,275,-0.4466,265,-0.5075,467,0.41059,386,0.12640
ENSG00000116237,ICMT,69,0.73018,49,0.15989,81,1.01606,59,0.46259,38,-0.2640,52,0.24498,18,-1.6960
ENSG00000097021,ACOT7,47,-3.0397,246,-0.5701,390,0.16776,497,0.57071,599,0.89573,412,0.25747,326,-0.1612
ENSG00000162408,NOL9,51,0.39115,34,-0.2342,25,-0.7153,37,-0.1044,23,-0.8435,55,0.52835,44,0.23418
ENSG00000162413,KLHL21,95,1.45782,33,-0.3252,33,-0.3553,93,1.41929,39,-0.0650,8,-2.3452,22,-1.1549
ENSG00000007923,DNAJC11,37,-0.1655,34,-0.2965,50,0.32363,44,0.13288,36,-0.1916,50,0.32223,39,-0.1025
ENSG00000171735,CAMTA1,153,-0.0628,187,0.26927,127,-0.3584,142,-0.1837,164,0.04889,191,0.30187,155,-0.0466
ENSG00000049246,PER3,54,0.68169,31,-0.2205,100,1.84582,25,-0.5796,47,0.46138,23,-0.6845,14,-1.7438
ENSG00000116288,PARK7,422,0.31210,288,-0.3049,313,-0.1718,358,0.04275,344,-0.0227,410,0.26602,334,-0.0902
ENSG00000162426,SLC45A1,9,-2.2436,27,-0.5572,33,-0.2850,69,0.96903,55,0.57270,46,0.26678,37,-0.0950
ENSG00000142599,RERE,129,0.25546,68,-0.7630,112,0.01887,197,0.97901,104,-0.0943,121,0.14699,88,-0.4712
ENSG00000074800,ENO1,785,-0.2434,618,-0.6198,1282,0.56318,1417,0.73565,838,-0.1386,761,-0.2926,840,-0.1778
ENSG00000171603,CLSTN1,645,-0.2560,344,-1.2282,598,-0.3749,1279,0.88786,973,0.41655,658,-0.2242,769,0.03777
ENSG00000178585,CTNNBIP1,58,0.40946,21,-1.1970,11,-2.1205,79,0.94157,48,0.09670,66,0.63073,41,-0.1929
ENSG00000162441,LZIC,125,2.35692,29,-0.3082,25,-0.5634,35,-0.0273,20,-0.9088,51,0.60930,11,-2.0442
ENSG00000130939,UBE4B,46,-0.0544,40,-0.2912,23,-1.1085,97,1.20879,39,-0.3347,27,-0.8737,53,0.21290
ENSG00000054523,KIF1B,366,-0.0626,350,-0.1338,355,-0.1112,481,0.38921,367,-0.0565,346,-0.1518,385,0.03021
ENSG00000142657,PGD,22,-1.5441,53,-0.2115,41,-0.6349,78,0.40670,110,0.99409,38,-0.7434,69,0.26915
ENSG00000241563,CORT,50,-1.7965,25,-2.8068,134,-0.2979,185,0.22134,32,-2.4354,26,-2.7415,333,2.13615
ENSG00000160049,DFFA,48,0.54928,36,0.08128,23,-0.5842,54,0.74725,17,-1.0714,49,0.58441,27,-0.4777
ENSG00000120948,TARDBP,131,0.66392,76,-0.2250,97,0.15452,161,1.02746,54,-0.7779,66,-0.4540,69,-0.4992
ENSG00000116649,SRM,54,-1.4131,65,-1.1137,208,0.74269,150,0.18870,169,0.38614,117,-0.2046,146,0.19863
ENSG00000171824,EXOSC10,50,0.71126,13,-1.3868,40,0.33068,50,0.72737,34,0.06746,36,0.18930,23,-0.6898
ENSG00000198793,MTOR,43,-0.2562,40,-0.3641,35,-0.5537,67,0.45983,56,0.18103,65,0.42163,49,-0.0608
ENSG00000116661,FBXO2,247,0.47883,139,-0.4574,130,-0.5560,269,0.62501,151,-0.3233,115,-0.7562,205,0.22286
ENSG00000132879,FBXO44,33,-2.0734,121,-0.0875,161,0.37473,276,1.33337,148,0.23469,66,-1.0324,116,-0.2150
ENSG00000011021,CLCN6,69,-0.0528,59,-0.2876,37,-1.0154,129,1.01630,104,0.64027,26,-1.5313,71,0.01086
ENSG00000116685,KIAA2013,55,0.74117,23,-0.6350,38,0.15217,71,1.20445,43,0.35770,24,-0.6176,20,-1.0576
ENSG00000083444,PLOD1,101,2.02115,36,0.12489,16,-1.0767,89,1.74893,19,-0.8660,3,-3.3682,11,-1.9367
ENSG00000116688,MFN2,39,-1.7709,103,-0.3004,122,-0.0286,174,0.56025,153,0.33967,132,0.09745,131,0.12709
ENSG00000048707,VPS13D,79,0.27213,62,-0.1188,39,-0.8586,59,-0.1891,67,-0.0084,59,-0.1922,79,0.37386
ENSG00000162496,DHRS3,113,2.32389,18,-0.9186,41,0.38044,39,0.29113,8,-2.0019,27,-0.3054,15,-1.4105
ENSG00000116731,PRDM2,38,-0.7731,61,-0.0255,119,1.09247,63,0.02742,46,-0.4764,75,0.29898,53,-0.3391
ENSG00000189337,KAZN,67,0.31677,42,-0.4398,31,-0.9036,55,-0.0132,81,0.62922,80,0.61852,47,-0.3267
ENSG00000142634,EFHD2,54,-1.0413,29,-1.9961,6,-4.2061,68,-0.6965,226,1.30331,163,0.71217,137,0.58330
ENSG00000116138,DNAJC16,16,-1.0107,36,0.18128,19,-0.8126,32,0.02617,52,0.82819,41,0.39682,30,-0.1197
ENSG00000116786,PLEKHM2,86,0.19495,75,-0.0287,36,-1.1451,75,-0.0232,91,0.29926,84,0.15535,79,0.08870
ENSG00000065526,SPEN,68,0.79171,41,-0.0324,29,-0.5796,58,0.53311,47,0.19699,35,-0.3030,33,-0.4679
ENSG00000291072,CROCCP2,41,0.34961,9,-1.9276,52,0.78470,44,0.47873,20,-0.7409,27,-0.3210,34,0.07324
ENSG00000159363,ATP13A2,34,-2.5574,132,-0.5284,124,-0.6270,282,0.70624,249,0.49507,200,0.12783,213,0.32564
ENSG00000117118,SDHB,68,-0.3856,53,-0.7608,140,0.81080,77,-0.1738,96,0.18315,70,-0.3419,91,0.10897
ENSG00000117115,PADI2,174,3.51241,19,-0.8560,3,-3.4055,3,-3.2144,9,-1.9795,23,-0.5766,21,-0.8724
ENSG00000117154,IGSF21,24,-2.3268,41,-1.5495,9,-3.7644,172,0.70420,163,0.61668,136,0.30912,156,0.77728
ENSG00000127463,EMC1,57,0.52211,20,-1.1031,54,0.42757,36,-0.2350,46,0.15275,47,0.20624,38,-0.1892
ENSG00000053372,MRTO4,30,-0.2060,31,-0.1465,20,-0.8648,66,1.10583,35,0.01257,29,-0.2448,33,-0.1064
ENSG00000053371,AKR7A2,149,1.56628,27,-1.2531,67,0.16000,120,1.14899,19,-1.7615,74,0.32454,31,-1.2925
ENSG00000077549,CAPZB,224,0.09985,143,-0.6125,175,-0.2946,329,0.74622,199,-0.0964,136,-0.6967,230,0.19614
ENSG00000173436,MICOS10,201,-0.4515,168,-0.7313,142,-0.9972,323,0.30762,160,-0.8071,322,0.30652,363,0.72648
ENSG00000158747,NBL1,122,-0.6413,140,-0.4222,86,-1.1770,198,0.13645,275,0.68374,212,0.24518,203,0.23863
ENSG00000162545,CAMK2N1,170,-2.5054,363,-1.3777,463,-1.0068,406,-1.2054,916,0.06759,1453,0.84767,1379,1.13353
ENSG00000090432,MUL1,31,0.07187,28,-0.0845,16,-0.9982,41,0.50886,22,-0.4402,46,0.70997,28,-0.1247
ENSG00000158828,PINK1,149,-1.6038,346,-0.3076,225,-0.9793,519,0.34878,543,0.42633,356,-0.2631,546,0.61495
ENSG00000244038,DDOST,89,1.18256,26,-0.8503,54,0.30171,61,0.51404,21,-1.1498,35,-0.4069,39,-0.2939
ENSG00000189410,SH2D5,5,-3.0452,46,0.19035,131,2.11983,30,-0.5185,61,0.63816,19,-1.1692,26,-0.8902
ENSG00000127483,HP1BP3,269,0.76887,168,-0.0176,159,-0.1108,231,0.50424,158,-0.1198,147,-0.2352,133,-0.5015
ENSG00000075151,EIF4G3,127,0.01085,69,-0.9501,83,-0.6660,153,0.30963,90,-0.5375,202,0.78416,138,0.19358
ENSG00000076864,RAP1GAP,8,-5.2503,303,0.05626,908,2.07083,317,0.12846,495,0.88641,93,-1.7691,170,-1.0539
ENSG00000090686,USP48,49,-0.3378,61,0.01272,92,0.70121,84,0.54316,62,0.05040,26,-1.2758,56,-0.1453
ENSG00000070831,CDC42,264,0.11399,195,-0.3727,97,-1.4467,411,0.86270,296,0.30239,259,0.08088,232,-0.1313
ENSG00000173369,C1QB,235,4.25600,40,0.14528,28,-0.4018,3,-3.3863,6,-2.6463,5,-2.8798,4,-3.6169
ENSG00000004487,KDM1A,54,-0.0966,49,-0.2399,31,-0.9282,131,1.45590,56,-0.0254,53,-0.1219,46,-0.4333
ENSG00000169641,LUZP1,16,-1.4417,30,-0.4974,30,-0.5297,43,0.04294,40,-0.0598,93,1.38927,41,-0.0403
ENSG00000125944,HNRNPR,154,0.49225,100,-0.2130,157,0.52355,109,-0.0745,109,-0.0786,122,0.09963,93,-0.4295
ENSG00000142676,RPL11,932,1.20502,548,0.27670,334,-0.5160,360,-0.4019,311,-0.6320,584,0.38531,365,-0.4867
ENSG00000057757,PITHD1,133,-0.8020,172,-0.4049,155,-0.5643,311,0.56348,295,0.47248,223,0.00931,235,0.12853
ENSG00000011009,LYPLA2,94,0.47913,37,-0.9907,80,0.21922,137,1.14165,75,0.10666,54,-0.4138,52,-0.6250
ENSG00000189266,PNRC2,94,0.64010,54,-0.2669,29,-1.2098,69,0.12600,48,-0.4539,64,0.00926,72,0.27023
ENSG00000188529,SRSF10,118,1.03884,47,-0.4968,94,0.65012,57,-0.1713,32,-1.0562,74,0.23267,51,-0.4672
ENSG00000001461,NIPAL3,103,0.68281,79,0.22918,30,-1.2750,129,1.08048,57,-0.2851,67,-0.0409,50,-0.6197
ENSG00000133226,SRRM1,109,1.37518,74,0.67114,26,-0.9719,73,0.65888,44,-0.1790,23,-1.1458,31,-0.8984
ENSG00000169504,CLIC4,219,3.46531,53,0.38258,17,-1.3615,35,-0.2919,8,-2.4318,23,-0.9457,7,-3.0395
ENSG00000117614,SYF2,140,1.17235,52,-0.4678,105,0.66580,39,-0.9295,45,-0.7044,54,-0.4260,66,-0.1283
ENSG00000117616,RSRP1,132,0.74974,43,-1.0313,178,1.28898,130,0.73263,81,-0.0505,43,-1.0445,50,-1.0190
ENSG00000183726,TMEM50A,108,0.61891,80,0.11440,132,0.96028,72,-0.0640,96,0.42137,47,-0.7351,45,-0.9634
ENSG00000204178,MACO1,30,0.11739,33,0.26347,41,0.62205,29,0.04870,52,1.04273,15,-0.9589,17,-0.9193
ENSG00000117643,MAN1C1,66,0.79490,12,-1.7851,40,-0.0185,105,1.66652,20,-1.0718,10,-2.0995,38,-0.1652
ENSG00000162430,SELENON,117,1.82151,34,-0.3630,47,0.18653,67,0.77910,14,-1.6223,32,-0.4543,23,-1.1758
ENSG00000117640,MTFR1L,73,-0.1613,73,-0.1712,94,0.25244,124,0.71323,64,-0.3757,61,-0.4410,79,-0.0368
ENSG00000117632,STMN1,511,-1.2508,385,-1.6787,177,-2.8307,1158,0.02584,1584,0.54708,1195,0.07702,1748,1.06596
