Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,80,1.57749,6,-2.4885,31,-0.0952,32,0.02574,18,-0.9061,29,-0.1596
ENSG00000188976,NOC2L,80,0.24744,52,-0.4418,88,0.82275,33,-1.1060,31,-1.2325,51,-0.4589
ENSG00000188290,HES4,80,0.65957,13,-2.1553,44,-0.5274,43,-0.3456,110,1.21474,70,0.44426
ENSG00000187608,ISG15,80,0.84263,63,0.43542,33,-0.9310,29,-0.7769,49,0.03451,95,1.13454
ENSG00000078808,SDF4,80,-0.0918,126,0.64062,89,0.14135,57,-0.6176,57,-0.6285,84,-0.0178
ENSG00000176022,B3GALT6,80,1.29912,19,-1.0593,40,0.24502,16,-1.2337,34,-0.1470,21,-0.9053
ENSG00000160087,UBE2J2,80,0.67796,60,0.20502,57,0.21065,22,-1.3247,37,-0.5543,46,-0.2347
ENSG00000131584,ACAP3,851,3.20521,46,-1.9745,97,-1.2855,96,-0.8634,129,-0.4175,69,-1.3724
ENSG00000127054,INTS11,80,0.42051,92,0.64657,64,0.08026,51,-0.2877,40,-0.6702,37,-0.8054
ENSG00000224051,CPTP,80,1.39795,27,-0.4266,34,-0.0748,30,-0.2316,17,-1.1169,26,-0.4557
ENSG00000107404,DVL1,80,0.44819,61,0.01647,59,-0.1039,80,0.43540,53,-0.2088,41,-0.6296
ENSG00000175756,AURKAIP1,80,-0.6955,168,0.47513,133,0.17917,117,-0.1101,124,-0.0089,98,-0.3888
ENSG00000221978,CCNL2,80,0.32164,118,0.97859,56,-0.4152,57,-0.2236,48,-0.4918,72,0.15070
ENSG00000242485,MRPL20,80,-1.0322,233,0.65622,165,0.16999,152,-0.0403,141,-0.1650,128,-0.3079
ENSG00000179403,VWA1,80,1.25649,54,0.58197,18,-1.6418,10,-1.9569,8,-2.3549,136,2.31384
ENSG00000205090,TMEM240,80,0.97445,8,-2.4713,49,0.27087,44,-0.0228,39,-0.2004,30,-0.6159
ENSG00000160075,SSU72,80,-1.1177,202,0.32781,197,0.56679,162,-0.0302,133,-0.3366,87,-0.9914
ENSG00000228594,FNDC10,80,1.24030,4,-3.2298,46,0.56726,15,-1.3824,11,-1.8722,43,0.19720
ENSG00000272106,ENSG00000272106,80,1.41996,45,0.43580,25,-0.8580,31,-0.1605,54,0.71624,14,-1.4211
ENSG00000197530,MIB2,80,1.17921,57,0.60375,39,-0.0427,28,-0.5284,18,-1.2127,17,-1.2491
ENSG00000189339,SLC35E2B,80,-0.2882,87,-0.1574,105,0.26348,106,0.15830,91,-0.0968,73,-0.4331
ENSG00000008130,NADK,80,1.45926,40,0.26909,27,-0.5626,31,-0.1480,27,-0.3396,24,-0.5110
ENSG00000078369,GNB1,80,-2.3405,331,-0.2008,464,0.69753,352,-0.1005,345,-0.1354,323,-0.2389
ENSG00000187730,GABRD,80,-0.7963,61,-1.2010,167,0.74422,91,-0.6049,236,0.94266,31,-2.2050
ENSG00000067606,PRKCZ,80,-1.2004,69,-1.4317,228,0.91222,138,-0.3669,200,0.21703,118,-0.6157
ENSG00000162585,FAAP20,80,0.47533,109,0.99025,55,-0.2488,52,-0.2240,25,-1.3389,59,-0.0088
ENSG00000157933,SKI,80,0.86084,61,0.40883,38,-0.5991,58,0.33356,47,-0.0140,40,-0.2776
ENSG00000157916,RER1,80,0.04662,109,0.55527,83,0.17146,66,-0.2651,61,-0.3829,50,-0.7036
ENSG00000157911,PEX10,80,1.28466,35,-0.0975,33,-0.3493,26,-0.5861,27,-0.4911,42,0.16775
ENSG00000197921,HES5,80,1.06455,5,-3.1187,24,-1.3204,178,2.68751,22,-1.0190,18,-1.2808
ENSG00000157870,PRXL2B,847,3.61977,69,-1.1626,76,-1.4972,55,-1.4992,35,-2.1602,75,-1.0258
ENSG00000158109,TPRG1L,80,-1.3372,173,-0.1613,248,0.88929,150,-0.3841,158,-0.2960,108,-0.8877
ENSG00000130764,LRRC47,80,-0.0255,82,0.01531,89,0.28276,63,-0.4026,75,-0.1378,67,-0.3048
ENSG00000196581,AJAP1,80,0.74501,2,-4.7872,59,0.46205,52,0.04776,41,-0.3454,39,-0.4302
ENSG00000069424,KCNAB2,80,-1.2833,45,-2.1263,233,0.78463,277,0.66776,191,0.05990,83,-1.2380
ENSG00000116254,CHD5,80,-0.9540,27,-2.5858,204,1.13152,190,0.40466,19,-3.0432,147,-0.0087
ENSG00000116251,RPL22,669,0.90266,572,0.63457,280,-0.8248,370,-0.0797,482,0.35062,392,0.01303
ENSG00000116237,ICMT,80,0.84916,96,1.16586,37,-0.6701,21,-1.2674,67,0.53880,31,-0.6848
ENSG00000097021,ACOT7,80,-1.7743,95,-1.5283,371,1.39352,171,-0.6292,193,-0.4436,165,-0.6860
ENSG00000215788,TNFRSF25,80,1.45923,68,1.14626,28,-0.4894,19,-0.8739,24,-0.5375,8,-2.1555
ENSG00000162408,NOL9,80,0.83512,42,-0.2023,51,0.17464,48,0.00120,25,-1.0111,31,-0.7015
ENSG00000162413,KLHL21,80,0.53766,167,1.87296,41,-0.8242,50,-0.2330,37,-0.7017,35,-0.7843
ENSG00000007923,DNAJC11,80,0.79586,33,-0.6480,50,0.06377,41,-0.2972,42,-0.2543,46,-0.1176
ENSG00000171735,CAMTA1,80,-1.1945,131,-0.4466,199,0.42179,148,-0.2577,159,-0.1439,225,0.41900
ENSG00000049245,VAMP3,80,1.32045,83,1.37699,16,-1.8037,30,-0.3198,14,-1.4100,79,1.29561
ENSG00000049246,PER3,80,1.14532,78,1.10097,25,-1.1327,58,0.58045,33,-0.2940,29,-0.5293
ENSG00000116288,PARK7,80,-2.0417,479,0.73644,327,0.19047,331,0.12216,351,0.22055,190,-0.7479
ENSG00000162426,SLC45A1,80,1.17994,28,-0.5386,40,0.00613,38,-0.0761,29,-0.4694,22,-0.8746
ENSG00000142599,RERE,80,-0.4279,112,0.10570,118,0.33716,95,-0.1636,90,-0.2392,87,-0.3056
ENSG00000074800,ENO1,80,-3.2777,1112,0.73741,800,0.35993,828,0.24411,654,-0.1357,442,-0.7444
ENSG00000171612,SLC25A33,80,1.37166,28,-0.3910,29,-0.5193,10,-1.9058,27,-0.4543,66,1.01921
ENSG00000171603,CLSTN1,80,-3.2601,721,0.04107,955,1.08060,600,-0.2511,412,-0.8345,442,-0.7261
ENSG00000178585,CTNNBIP1,80,0.60275,25,-1.2294,64,0.45578,30,-0.9223,19,-1.6031,78,0.56757
ENSG00000162441,LZIC,80,0.97429,76,0.87479,32,-0.7897,46,0.04640,26,-0.8281,55,0.33958
ENSG00000130939,UBE4B,80,0.62263,41,-0.4343,61,0.31554,35,-0.6777,39,-0.5183,47,-0.2299
ENSG00000054523,KIF1B,80,-2.1879,285,-0.2731,391,0.44919,372,0.15100,254,-0.4548,440,0.42703
ENSG00000142657,PGD,80,0.10541,62,-0.2943,86,0.43492,63,-0.2677,42,-0.9057,71,-0.0840
ENSG00000241563,CORT,80,-1.8220,44,-2.7037,475,3.14115,31,-3.2059,105,-1.4191,7,-5.3139
ENSG00000160049,DFFA,80,1.05415,56,0.43720,33,-0.6769,29,-0.6063,30,-0.5244,67,0.74778
ENSG00000142655,PEX14,80,1.45208,22,-0.6811,30,-0.3703,48,0.56670,21,-0.7360,21,-0.7481
ENSG00000120948,TARDBP,80,-0.4406,185,0.92177,105,-0.0312,111,0.06885,89,-0.2754,71,-0.6204
ENSG00000116649,SRM,80,-0.3913,53,-1.0363,131,0.80382,78,-0.4326,102,-0.0140,61,-0.8117
ENSG00000171824,EXOSC10,80,1.39661,68,1.10348,26,-0.7533,14,-1.3676,36,0.04965,22,-0.6962
ENSG00000198793,MTOR,80,0.82501,29,-0.7972,49,0.03355,29,-0.7841,54,0.18138,47,-0.0468
ENSG00000116661,FBXO2,80,-1.1898,272,0.74606,171,-0.0436,166,-0.0666,189,0.13633,172,-0.0115
ENSG00000132879,FBXO44,80,-0.7534,78,-0.7964,161,0.69466,97,-0.4579,137,0.08673,103,-0.3623
ENSG00000116670,MAD2L2,80,1.57781,25,-0.3988,21,-0.9701,28,-0.2009,44,0.51671,35,0.15287
ENSG00000011021,CLCN6,80,-0.1844,80,-0.1919,99,0.29960,89,-0.0223,26,-1.9054,129,0.58825
ENSG00000116685,KIAA2013,80,0.91938,52,0.20218,44,-0.1404,22,-1.1446,22,-1.1458,65,0.57088
ENSG00000083444,PLOD1,80,1.15214,89,1.34366,30,-0.7146,12,-1.7632,24,-0.8172,45,0.18793
ENSG00000116688,MFN2,80,-0.6919,86,-0.5819,152,0.64573,108,-0.2245,112,-0.1655,99,-0.3633
ENSG00000048707,VPS13D,80,0.22649,71,0.04238,72,0.09402,73,0.06637,49,-0.5479,63,-0.1479
ENSG00000162496,DHRS3,80,0.93459,182,2.56069,21,-1.7431,26,-0.8824,38,-0.2861,26,-0.8386
ENSG00000116731,PRDM2,80,0.64327,35,-0.6608,52,-0.0993,53,-0.0390,55,0.03658,56,0.05941
ENSG00000189337,KAZN,1670,4.92303,46,-2.3445,62,-2.5608,17,-3.7900,61,-1.9232,56,-2.0555
ENSG00000142634,EFHD2,80,-0.6071,48,-1.3863,180,1.65386,65,-0.9281,11,-3.4740,79,-0.6222
ENSG00000116138,DNAJC16,868,4.53794,57,-1.1415,34,-2.5619,34,-1.9228,33,-1.9570,36,-1.8364
ENSG00000116786,PLEKHM2,80,0.35431,61,-0.0912,64,0.00395,87,0.49645,57,-0.2043,36,-0.8775
ENSG00000065526,SPEN,80,0.83191,68,0.55274,30,-1.1730,61,0.37084,34,-0.5678,93,1.09802
ENSG00000055070,SZRD1,80,1.33397,71,1.12595,25,-0.8998,7,-2.3430,20,-0.8937,58,0.76930
ENSG00000291072,CROCCP2,80,1.19617,37,-0.0860,39,-0.0355,27,-0.5525,30,-0.3988,23,-0.7914
ENSG00000058453,CROCC,80,1.02520,231,3.33882,19,-1.7954,6,-2.7799,8,-2.4438,11,-2.0154
ENSG00000159363,ATP13A2,80,-1.1484,59,-1.6172,233,1.16614,149,-0.1932,93,-0.9223,137,-0.3223
ENSG00000117118,SDHB,80,-0.0328,88,0.12020,83,0.03999,73,-0.1755,97,0.26745,65,-0.3573
ENSG00000117115,PADI2,80,1.35830,61,0.88530,11,-2.4157,42,0.25025,15,-1.3579,106,1.89137
ENSG00000117154,IGSF21,80,-0.4952,18,-2.6935,163,1.50148,106,-0.0631,10,-3.5965,72,-0.6572
