Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to10,Feature log2 fold change topic 3to10
ENSG00000188976,NOC2L,3,-4.2771,103,0.74237,69,0.36624
ENSG00000187608,ISG15,3,-4.0086,103,1.06512,55,0.04104
ENSG00000078808,SDF4,101,0.28399,103,0.31978,80,-0.3445
ENSG00000131584,ACAP3,77,0.05094,103,0.51534,71,-0.3391
ENSG00000127054,INTS11,138,0.88933,103,0.39739,71,-0.7662
ENSG00000107404,DVL1,3,-3.9953,103,1.08197,54,0.02407
ENSG00000175756,AURKAIP1,3,-6.0157,1052,3.05305,142,-1.8930
ENSG00000221978,CCNL2,3,-4.2804,103,0.73782,69,0.37081
ENSG00000242485,MRPL20,3,-5.6485,103,-0.7788,199,1.89386
ENSG00000160075,SSU72,49,-1.6103,103,-0.4880,157,1.03822
ENSG00000189339,SLC35E2B,3,-4.6280,103,0.33731,91,0.77373
ENSG00000078369,GNB1,263,-0.5911,110,-1.8977,432,1.20805
ENSG00000187730,GABRD,3,-5.0096,103,-0.0892,123,1.20216
ENSG00000067606,PRKCZ,428,1.36488,103,-0.9677,174,-0.6105
ENSG00000162585,FAAP20,173,1.42002,103,0.51352,59,-1.2078
ENSG00000157916,RER1,253,1.55761,103,0.00871,83,-1.0879
ENSG00000157870,PRXL2B,3,-4.0969,103,0.95826,59,0.14881
ENSG00000158109,TPRG1L,3,-5.8177,103,-0.9579,225,2.07336
ENSG00000130764,LRRC47,3,-4.5726,103,0.40019,87,0.71051
ENSG00000069424,KCNAB2,70,-1.1489,103,-0.5645,163,0.90762
ENSG00000116254,CHD5,3,-5.0828,103,-0.1690,130,1.28234
ENSG00000116251,RPL22,231,-1.0932,103,-2.2968,542,1.69648
ENSG00000097021,ACOT7,125,-1.6628,996,1.72367,323,-0.7937
ENSG00000171735,CAMTA1,47,-2.0870,103,-0.9287,215,1.51119
ENSG00000116288,PARK7,328,-0.0727,103,-1.8417,375,0.79918
ENSG00000142599,RERE,3,-4.8131,103,0.12906,105,0.98298
ENSG00000074800,ENO1,240,-1.7151,103,-2.9584,874,2.34735
ENSG00000171603,CLSTN1,127,-2.2911,103,-2.6037,691,2.57943
ENSG00000130939,UBE4B,3,-4.1492,103,0.89519,62,0.21236
ENSG00000054523,KIF1B,813,1.08265,103,-2.1620,419,-0.1292
ENSG00000142657,PGD,3,-4.4211,103,0.57475,77,0.53497
ENSG00000241563,CORT,3,-5.2525,103,-0.3538,148,1.46775
ENSG00000120948,TARDBP,188,0.76741,103,-0.2152,111,-0.3872
ENSG00000116649,SRM,3,-4.8763,103,0.05830,111,1.05403
ENSG00000198793,MTOR,3,-3.8897,103,1.21245,49,-0.1075
ENSG00000116661,FBXO2,4,-5.9084,103,-1.2581,277,2.36644
ENSG00000132879,FBXO44,3,-5.1352,103,-0.2267,135,1.34018
ENSG00000011021,CLCN6,3,-4.4625,103,0.52674,80,0.58326
ENSG00000116688,MFN2,3,-5.9693,1055,3.15471,132,-1.9950
ENSG00000048707,VPS13D,95,-0.0325,172,0.94645,88,-0.5967
ENSG00000116731,PRDM2,3,-4.2956,103,0.72135,70,0.38744
ENSG00000189337,KAZN,3,-4.2018,103,0.83251,64,0.27551
ENSG00000142634,EFHD2,3,-4.8578,103,0.07949,109,1.03278
ENSG00000116786,PLEKHM2,3,-4.2312,103,0.79748,66,0.31079
ENSG00000065526,SPEN,3,-4.1016,103,0.95195,59,0.15514
ENSG00000159363,ATP13A2,3,-5.5838,103,-0.7097,189,1.82458
ENSG00000117118,SDHB,342,0.85588,1095,3.37828,75,-3.2463
ENSG00000117115,PADI2,3,-4.5239,103,0.45554,84,0.65485
ENSG00000117154,IGSF21,97,-0.0179,103,0.08316,97,-0.0375
ENSG00000053371,AKR7A2,3,-4.0024,103,1.07308,54,0.03303
ENSG00000077549,CAPZB,30,-2.8480,103,-1.0462,236,1.81699
ENSG00000173436,MICOS10,190,-0.3684,103,-1.3054,263,0.84373
ENSG00000158747,NBL1,49,-1.6425,103,-0.5344,162,1.08213
ENSG00000162545,CAMK2N1,1008,0.43503,103,-3.0322,825,0.57157
ENSG00000158828,PINK1,419,0.16964,103,-1.9812,406,0.63741
ENSG00000127483,HP1BP3,254,0.29076,103,-1.1204,221,0.30526
ENSG00000075151,EIF4G3,30,-2.2559,103,-0.3917,148,1.15696
ENSG00000076864,RAP1GAP,173,-0.2644,103,-1.0607,221,0.67673
ENSG00000090686,USP48,161,1.10651,103,0.34397,71,-0.8903
ENSG00000070831,CDC42,245,-0.1528,103,-1.4814,294,0.75363
ENSG00000173369,C1QB,3,-4.2806,103,0.73876,69,0.36990
ENSG00000004487,KDM1A,3,-4.1065,103,0.94675,59,0.16041
ENSG00000125944,HNRNPR,3,-5.0731,103,-0.1588,129,1.27208
ENSG00000117318,ID3,3,-4.8828,103,0.05135,111,1.06102
ENSG00000142676,RPL11,191,-1.5587,103,-2.4720,621,2.07586
ENSG00000057757,PITHD1,16,-3.7565,103,-1.0440,237,1.98806
ENSG00000011009,LYPLA2,3,-3.9559,103,1.13008,52,-0.0244
ENSG00000189266,PNRC2,4,-4.2825,103,0.40552,87,0.69250
ENSG00000188529,SRSF10,127,0.72274,103,0.37751,73,-0.6452
ENSG00000001461,NIPAL3,3,-4.6440,103,0.31894,92,0.79219
ENSG00000133226,SRRM1,3,-4.4309,103,0.56319,78,0.54659
ENSG00000169504,CLIC4,3,-4.4877,103,0.49694,81,0.61320
ENSG00000117614,SYF2,3,-4.3875,103,0.61389,75,0.49559
ENSG00000117616,RSRP1,3,-4.5577,103,0.41725,86,0.69336
ENSG00000183726,TMEM50A,273,1.60450,103,-0.0722,88,-1.0950
