Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000188976,NOC2L,3,-4.2771,103,0.74237,22,-1.6526,39,-0.8070,93,0.97684,58,-0.2249
ENSG00000187608,ISG15,3,-4.0086,103,1.06512,68,0.35499,14,-2.0223,65,0.45889,48,-0.2340
ENSG00000078808,SDF4,101,0.28399,103,0.31978,72,-0.2603,1,-5.6050,89,0.12912,106,0.41668
ENSG00000131584,ACAP3,77,0.05094,103,0.51534,52,-0.5618,11,-2.8666,77,0.05132,100,0.53676
ENSG00000127054,INTS11,138,0.88933,103,0.39739,52,-0.6768,7,-3.5994,100,0.56561,53,-0.7306
ENSG00000107404,DVL1,3,-3.9953,103,1.08197,50,-0.1122,7,-2.9460,57,0.12179,74,0.60006
ENSG00000175756,AURKAIP1,3,-6.0157,1052,3.05305,132,-0.7881,154,-0.5474,150,-0.8154,123,-0.9771
ENSG00000221978,CCNL2,3,-4.2804,103,0.73782,50,-0.4201,62,-0.1033,73,0.28005,72,0.17588
ENSG00000242485,MRPL20,3,-5.6485,103,-0.7788,258,0.69207,111,-0.6626,219,0.67771,172,0.02801
ENSG00000160075,SSU72,49,-1.6103,103,-0.4880,165,0.25828,134,-0.0726,176,0.58790,125,-0.2062
ENSG00000189339,SLC35E2B,3,-4.6280,103,0.33731,57,-0.5878,22,-2.0150,120,1.00688,85,0.03794
ENSG00000078369,GNB1,263,-0.5911,110,-1.8977,276,-0.5125,372,-0.0465,499,0.71094,404,0.09846
ENSG00000187730,GABRD,3,-5.0096,103,-0.0892,33,-1.8220,20,-2.5354,162,1.13203,141,0.48378
ENSG00000067606,PRKCZ,428,1.36488,103,-0.9677,48,-2.1164,82,-1.3033,240,0.59023,148,-0.4492
ENSG00000162585,FAAP20,173,1.42002,103,0.51352,67,-0.1695,61,-0.3186,51,-0.8375,71,-0.0871
ENSG00000157916,RER1,253,1.55761,103,0.00871,129,0.37148,43,-1.3293,97,-0.1296,54,-1.0711
